ns_state,freq_hz,w_re_mean,w_re_std,w_im_mean,w_im_std,w_avg_mean,w_avg_std
Ns1,67.6,1.4539913220242657e-26,5.242440265638163e-26,0.001014114753518766,0.0036564427430164355,0.000507057376759383,0.002585495458607262
Ns1,90.6,0.0018239589293485125,0.00657637744410646,1.6984960307415237e-37,6.1240131887181564e-37,0.0009119794646742563,0.004650201086369933
Ns1,122.0,0.0023525981577666812,0.005891946961602627,0.01083456208218817,0.02158141403549,0.0065935801199774255,0.01581885695569663
Ns1,163.0,0.00682956962579972,0.013878152256978681,3.978888300920857e-30,1.4346085788313805e-29,0.00341478481289986,0.009813335571249015
Ns1,219.0,0.007009549118904541,0.014804281488042624,0.0028961899119300067,0.010442361230945175,0.0049528695154172735,0.012810340714726295
Ns1,294.0,0.014158245373103643,0.034961973618059396,3.720075976020678e-44,4.9784122222889134e-60,0.007079122686551822,0.024721848628994972
Ns1,394.0,4.1200025803910007e-44,1.4419558784794e-44,0.005045929806139714,0.014871009986176364,0.002522964903069857,0.010515392004318173
Ns1,529.0,0.0043441383331079145,0.011714230395801075,4.895759444731595e-44,3.9836111470442355e-44,0.0021720691665539573,0.008283211749252515
Ns1,710.0,3.720075976020678e-44,4.9784122222889134e-60,4.2003423188813217e-44,1.731624925063622e-44,3.960209147451e-44,1.2244437269841342e-44
Ns1,952.0,0.0012068322902604532,0.004343998082985612,0.002479102399220975,0.005607691824673495,0.0018429673447407139,0.005015801378917064
Ns1,1280.0,0.001504269656404195,0.005423721378289923,0.004615825411390428,0.010292847893533179,0.0030600475338973115,0.008226769455525345
Ns1,1710.0,3.720075976020678e-44,4.9784122222889134e-60,0.0003910466441730478,0.001409938726664045,0.0001955233220865239,0.0009969772346816723
Ns1,2300.0,3.720075976020678e-44,4.9784122222889134e-60,0.003354754481403251,0.00984727726436304,0.0016773772407016256,0.00696307652985522
Ns1,3090.0,3.720075976020678e-44,4.9784122222889134e-60,0.0016971880831985545,0.005316586574251019,0.0008485940415992772,0.0037593944194182515
Ns1,4140.0,0.0075915209138355975,0.02737161791359149,2.481932161485927e-09,7.406642544469021e-09,0.0037957616978838795,0.01935465663874843
Ns1,5560.0,0.012949737973280624,0.03907150158236282,1.0879509055500465e-07,3.922662775148173e-07,0.006474923384185589,0.02762772372142205
Ns1,7450.0,0.07078987159860078,0.12474682129450297,3.720075976020678e-44,4.9784122222889134e-60,0.03539493579930039,0.08820932326880947
Ns1,10000.0,3.720075976020678e-44,4.9784122222889134e-60,0.046733615337355094,0.06433221547409758,0.023366807668677547,0.04548974581048854
Ns6,0.999,0.068983541106639,0.1372667601304169,3.720075976020678e-44,4.9784122222889134e-60,0.0344917705533195,0.097062256919725
Ns6,1.33,0.003962236580954444,0.014286030727559813,0.008668373329511191,0.031254264514417096,0.006315304955232817,0.024299379871572185
Ns6,1.78,6.877355500481504e-39,2.2111605031711252e-38,0.0010149588060524883,0.0036594860177059565,0.0005074794030262441,0.002587647378777236
Ns6,2.37,3.720075976020678e-44,4.9784122222889134e-60,0.007692827524894192,0.02394585164342106,0.003846413762447096,0.016932274078350063
Ns6,3.16,3.720075976020678e-44,4.9784122222889134e-60,3.889300100240486e-43,1.2681778469067875e-42,2.130653848921277e-43,8.967371552983447e-43
Ns6,4.22,3.720075976020678e-44,4.9784122222889134e-60,0.025190405667181948,0.06240964447445154,0.012595202833590974,0.04413028281932623
