rank,feature_index,feature_type,frequency_hz,importance,importance_percent,cumulative_percent,is_literature_range_1_10_hz,frequency_range
21,0,Real,0.254,0.0010335355764254928,0.10335355982488591,99.12468576560511,False,Action Vector
22,108,Imaginary,135.0,0.000939986843150109,0.093998686299817,99.21868445190492,False,Mid (10-1000 Hz)
23,92,Imaginary,13.3,0.0008860854431986809,0.08860854619086,99.30729299809579,False,Mid (10-1000 Hz)
24,131,Imaginary,4140.0,0.000826505827717483,0.08265058451693635,99.38994358261273,False,High (>1000 Hz)
25,11,Real,2.37,0.0007434216095134616,0.07434216252109978,99.46428574513384,True,Low (1-10 Hz)
26,87,Imaginary,6.43,0.0006781006813980639,0.0678100695716332,99.53209581470546,True,Low (1-10 Hz)
27,30,Real,37.5,0.0006013712845742702,0.06013712972723777,99.5922329444327,False,Mid (10-1000 Hz)
28,60,Real,3090.0,0.0005218748701736331,0.05218748811931536,99.64442043255201,False,High (>1000 Hz)
29,85,Imaginary,4.8,0.00040527275996282697,0.04052727685202642,99.68494770940404,True,Low (1-10 Hz)
30,4,Real,0.822,0.0002926268498413265,0.029262685602021672,99.71421039500606,False,Action Vector
31,22,Real,11.6,0.00027410726761445403,0.02741072734022986,99.74162112234629,False,Mid (10-1000 Hz)
32,124,Imaginary,1330.0,0.00022282879217527807,0.022282879688036463,99.76390400203434,False,High (>1000 Hz)
33,10,Real,1.99,0.00022048971732147038,0.022048972197716676,99.78595297423205,True,Low (1-10 Hz)
34,134,Imaginary,5620.0,0.0002093861548928544,0.020938615931409624,99.80689159016345,False,High (>1000 Hz)
35,31,Real,42.2,0.00020916122593916953,0.020916123035566194,99.82780771319902,False,Mid (10-1000 Hz)
36,72,Imaginary,0.612,0.00018279011419508606,0.018279011805474574,99.8460867250045,False,Action Vector
37,62,Real,4140.0,0.00014131181524135172,0.014131181822518659,99.860217906827,False,High (>1000 Hz)
38,23,Real,13.3,0.0001353004772681743,0.013530048012507824,99.87374795483952,False,Mid (10-1000 Hz)
39,59,Real,2370.0,0.00010242890857625753,0.010242891073906996,99.88399084591343,False,High (>1000 Hz)
40,122,Imaginary,1000.0,9.553496056469157e-05,0.009553496258193654,99.89354434217162,False,Mid (10-1000 Hz)
41,57,Real,1780.0,9.047033381648362e-05,0.00904703357267877,99.9025913757443,False,High (>1000 Hz)
42,7,Real,1.33,7.99274566816166e-05,0.007992745836930515,99.91058412158124,True,Low (1-10 Hz)
43,2,Real,0.456,7.972963794600219e-05,0.007972963962951374,99.91855708554418,False,Action Vector
44,82,Imaginary,3.16,7.375441782642156e-05,0.007375441938376483,99.92593252748256,True,Low (1-10 Hz)
45,52,Real,952.0,7.096509943949059e-05,0.0070965100937936685,99.93302903757635,False,Mid (10-1000 Hz)
46,71,Imaginary,0.456,6.408607441699132e-05,0.006408607577018506,99.93943764515338,False,Action Vector
47,101,Imaginary,50.3,6.086095163482241e-05,0.006086095291991687,99.94552374044537,False,Mid (10-1000 Hz)
48,28,Real,28.0,5.9395330026745796e-05,0.005939533128089328,99.95146327357345,False,Mid (10-1000 Hz)
49,99,Imaginary,37.5,4.38983115600422e-05,0.00438983124869662,99.95585310482214,False,Mid (10-1000 Hz)
50,3,Real,0.612,4.062053994857706e-05,0.004062054080629008,99.95991515890277,False,Action Vector
51,29,Real,31.6,3.789950278587639e-05,0.003789950358613402,99.9637051092614,False,Mid (10-1000 Hz)
52,8,Real,1.48,3.25314249494113e-05,0.003253142563632061,99.96695825182502,True,Low (1-10 Hz)
53,119,Imaginary,710.0,3.096853106399067e-05,0.0030968531717899066,99.97005510499682,False,Mid (10-1000 Hz)
54,125,Imaginary,1710.0,2.94396832032362e-05,0.0029439683824862587,99.9729990733793,False,High (>1000 Hz)
55,110,Imaginary,178.0,2.1472542357514612e-05,0.00214725428109128,99.9751463276604,False,Mid (10-1000 Hz)
56,121,Imaginary,952.0,1.745887493598275e-05,0.0017458875304631328,99.97689221519084,False,Mid (10-1000 Hz)
57,96,Imaginary,23.7,1.7165482859127223e-05,0.0017165483221580754,99.97860876351301,False,Mid (10-1000 Hz)
58,111,Imaginary,219.0,1.4929010831110645e-05,0.0014929011146340501,99.98010166462764,False,Mid (10-1000 Hz)
59,103,Imaginary,67.6,1.3871460396330804e-05,0.0013871460689230213,99.98148881069658,False,Mid (10-1000 Hz)
60,38,Real,122.0,1.1786653885792475e-05,0.0011786654134670665,99.98266747611004,False,Mid (10-1000 Hz)
61,45,Real,316.0,1.111930214392487e-05,0.0011119302378711758,99.9837794063479,False,Mid (10-1000 Hz)
62,47,Real,422.0,1.1089527106378227e-05,0.0011089527340536409,99.98488835908196,False,Mid (10-1000 Hz)
63,17,Real,5.62,1.0546997145866044e-05,0.0010546997368568569,99.98594305881882,True,Low (1-10 Hz)
64,20,Real,8.64,1.0520227988308761e-05,0.0010520228210446046,99.98699508163986,True,Low (1-10 Hz)
65,105,Imaginary,90.6,8.44188889459474e-06,0.0008441889072847369,99.98783927054716,False,Mid (10-1000 Hz)
66,63,Real,4220.0,8.261196853709407e-06,0.0008261197028146677,99.98866539024996,False,High (>1000 Hz)
67,129,Imaginary,3090.0,7.888344953244086e-06,0.0007888345119808494,99.98945422476194,False,High (>1000 Hz)
68,51,Real,750.0,7.661398740310688e-06,0.0007661398902083067,99.99022036465215,False,Mid (10-1000 Hz)
69,39,Real,135.0,6.3598026827094145e-06,0.0006359802816998264,99.99085634493386,False,Mid (10-1000 Hz)
70,24,Real,15.5,6.050871434126748e-06,0.0006050871561892435,99.99146143209005,False,Mid (10-1000 Hz)
71,65,Real,5620.0,5.666776814905461e-06,0.0005666776934560892,99.99202810978349,False,High (>1000 Hz)
72,33,Real,56.2,5.601818884315435e-06,0.0005601819002599264,99.99258829168376,False,Mid (10-1000 Hz)
73,48,Real,529.0,5.1679121497727465e-06,0.0005167912258894524,99.99310508290965,False,Mid (10-1000 Hz)
74,44,Real,294.0,5.14717885380378e-06,0.000514717896248777,99.9936198008059,False,Mid (10-1000 Hz)
75,21,Real,10.0,4.3406735130702145e-06,0.00043406736047246384,99.99405386816636,True,Low (1-10 Hz)
76,109,Imaginary,163.0,4.088077275810065e-06,0.00040880773621308547,99.99446267590258,False,Mid (10-1000 Hz)
77,9,Real,1.78,3.906731762981508e-06,0.00039067318454731414,99.99485334908714,True,Low (1-10 Hz)
78,27,Real,23.7,3.3212440939678345e-06,0.0003321244164096747,99.99518547350354,False,Mid (10-1000 Hz)
79,115,Imaginary,394.0,3.3112296478066128e-06,0.0003311229717724068,99.99551659647531,False,Mid (10-1000 Hz)
80,43,Real,237.0,2.752879026957089e-06,0.0002752879085084829,99.99579188438382,False,Mid (10-1000 Hz)
81,116,Imaginary,422.0,2.740315267146798e-06,0.0002740315325009251,99.99606591591632,False,Mid (10-1000 Hz)
82,32,Real,50.3,2.735522912189481e-06,0.0002735522969950742,99.9963394682133,False,Mid (10-1000 Hz)
83,42,Real,219.0,2.5527926936774747e-06,0.0002552792747580341,99.99659474748807,False,Mid (10-1000 Hz)
84,26,Real,20.9,2.296710135851754e-06,0.00022967101843473717,99.9968244185065,False,Mid (10-1000 Hz)
85,15,Real,4.22,1.8641054566614912e-06,0.00018641054960225512,99.99701082905611,True,Low (1-10 Hz)
86,120,Imaginary,750.0,1.7909890175360488e-06,0.00017909890553532369,99.99718992796164,False,Mid (10-1000 Hz)
87,113,Imaginary,294.0,1.744549422255659e-06,0.00017445494590922632,99.99736438290755,False,Mid (10-1000 Hz)
88,83,Imaginary,3.57,1.685267989159911e-06,0.00016852680247447725,99.99753290971003,True,Low (1-10 Hz)
89,58,Real,2300.0,1.4415719533644733e-06,0.00014415719838036312,99.99767706690841,False,High (>1000 Hz)
90,133,Imaginary,5560.0,1.345390046481043e-06,0.00013453900748892957,99.9978116059159,False,High (>1000 Hz)
91,64,Real,5560.0,1.3295186818140792e-06,0.00013295187098872038,99.9979445577869,False,High (>1000 Hz)
92,54,Real,1280.0,1.3067481177131413e-06,0.000130674814530546,99.99807523260141,False,High (>1000 Hz)
93,95,Imaginary,20.9,1.2988537037017522e-06,0.0001298853731127378,99.99820511797452,False,Mid (10-1000 Hz)
94,136,Imaginary,7500.0,1.117120405069727e-06,0.00011171204286580081,99.9983168300174,False,High (>1000 Hz)
95,49,Real,564.0,9.728071290737716e-07,9.728071496148413e-05,99.99841411073236,False,Mid (10-1000 Hz)
96,97,Imaginary,28.0,9.079256528821134e-07,9.079256720531941e-05,99.99850490329956,False,Mid (10-1000 Hz)
97,130,Imaginary,3160.0,9.054112410922244e-07,9.054112602102127e-05,99.99859544442559,False,High (>1000 Hz)
98,123,Imaginary,1280.0,8.849122536958021e-07,8.849122723809491e-05,99.99868393565282,False,High (>1000 Hz)
99,77,Imaginary,1.48,8.260926733782981e-07,8.260926908214546e-05,99.9987665449219,True,Low (1-10 Hz)
100,132,Imaginary,4220.0,7.758878268759872e-07,7.758878432590558e-05,99.99884413370623,False,High (>1000 Hz)
101,128,Imaginary,2370.0,7.684009801778302e-07,7.68400996402812e-05,99.99892097380587,False,High (>1000 Hz)
102,75,Imaginary,1.1,7.452717341038806e-07,7.452717498404825e-05,99.99899550098085,True,Low (1-10 Hz)
103,67,Real,7500.0,7.040726472951064e-07,7.040726621617792e-05,99.99906590824706,False,High (>1000 Hz)
104,118,Imaginary,564.0,6.665196110589022e-07,6.665196251326332e-05,99.99913256020957,False,Mid (10-1000 Hz)
105,117,Imaginary,529.0,6.246970656320627e-07,6.246970788226999e-05,99.99919502991746,False,Mid (10-1000 Hz)
106,80,Imaginary,2.37,4.7055218033165147e-07,4.705521902674803e-05,99.9992420851365,True,Low (1-10 Hz)
107,6,Real,1.1,4.611583790392615e-07,4.611583887767378e-05,99.99928820097537,True,Low (1-10 Hz)
108,79,Imaginary,1.99,4.278182075267978e-07,4.278182165602879e-05,99.99933098279703,True,Low (1-10 Hz)
109,13,Real,3.16,4.035991025830299e-07,4.0359911110512744e-05,99.99937134270813,True,Low (1-10 Hz)
110,56,Real,1710.0,3.954546627937816e-07,3.954546711439073e-05,99.99941088817525,False,High (>1000 Hz)
111,50,Real,710.0,3.8338976082741283e-07,3.83389768922785e-05,99.99944922715214,False,Mid (10-1000 Hz)
112,53,Real,1000.0,3.711497242875339e-07,3.7114973212445464e-05,99.99948634212535,False,Mid (10-1000 Hz)
113,102,Imaginary,56.2,3.601640514716564e-07,3.6016405907661184e-05,99.99952235853127,False,Mid (10-1000 Hz)
114,84,Imaginary,4.22,3.474472975995013e-07,3.474473049359392e-05,99.99955710326176,True,Low (1-10 Hz)
115,36,Real,90.6,3.3388596420991234e-07,3.338859712599993e-05,99.99959049185888,False,Mid (10-1000 Hz)
116,41,Real,178.0,3.1040423209560686e-07,3.10404238649871e-05,99.99962153228275,False,Mid (10-1000 Hz)
117,66,Real,7450.0,2.8059974965799483e-07,2.8059975558292986e-05,99.99964959225831,False,High (>1000 Hz)
118,114,Imaginary,316.0,2.604237181458302e-07,2.6042372364474316e-05,99.99967563463066,False,Mid (10-1000 Hz)
119,40,Real,163.0,2.5804280312513583e-07,2.5804280857377515e-05,99.99970143891153,False,Mid (10-1000 Hz)
120,107,Imaginary,122.0,2.3564238915696478e-07,2.3564239413261368e-05,99.99972500315094,False,Mid (10-1000 Hz)
121,78,Imaginary,1.78,2.2283322209659673e-07,2.2283322680177683e-05,99.99974728647362,True,Low (1-10 Hz)
122,73,Imaginary,0.822,2.2121875531411206e-07,2.2121875998520227e-05,99.99976940834962,False,Action Vector
123,94,Imaginary,17.8,2.1128771265921387e-07,2.112877171206076e-05,99.99979053712134,False,Mid (10-1000 Hz)
124,98,Imaginary,31.6,2.0160828739790304e-07,2.0160829165491323e-05,99.9998106979505,False,Mid (10-1000 Hz)
125,35,Real,75.0,1.943027854167667e-07,1.9430278951951936e-05,99.99983012822945,False,Mid (10-1000 Hz)
126,37,Real,102.0,1.905808630908723e-07,1.9058086711503564e-05,99.99984918631615,False,Mid (10-1000 Hz)
127,76,Imaginary,1.33,1.6081204989859543e-07,1.608120532941827e-05,99.9998652675215,True,Low (1-10 Hz)
128,14,Real,3.57,1.4522464653055067e-07,1.4522464959700598e-05,99.99987978998645,True,Low (1-10 Hz)
129,61,Real,3160.0,1.4257298630582227e-07,1.4257298931628709e-05,99.99989404728538,False,High (>1000 Hz)
130,46,Real,394.0,1.374648803675882e-07,1.3746488327019406e-05,99.99990779377372,False,Mid (10-1000 Hz)
131,74,Imaginary,0.999,1.3044316915511445e-07,1.304431719094551e-05,99.9999208380909,False,Action Vector
132,55,Real,1330.0,1.2834641438530525e-07,1.283464170953724e-05,99.99993367273261,False,High (>1000 Hz)
133,126,Imaginary,1780.0,1.2663022630476917e-07,1.2663022897859855e-05,99.99994633575551,False,High (>1000 Hz)
134,25,Real,17.8,1.2628454726382188e-07,1.2628454993035217e-05,99.9999589642105,False,Mid (10-1000 Hz)
135,81,Imaginary,2.66,1.1919246389879845e-07,1.191924664155776e-05,99.99997088345715,True,Low (1-10 Hz)
136,104,Imaginary,75.0,1.0994650523343807e-07,1.0994650755498645e-05,99.9999818781079,False,Mid (10-1000 Hz)
137,34,Real,67.6,9.536929468367816e-08,9.536929669742503e-06,99.99999141503757,False,Mid (10-1000 Hz)
138,112,Imaginary,237.0,4.064020941996205e-08,4.064021027809039e-06,99.99999547905858,False,Mid (10-1000 Hz)
139,135,Imaginary,7450.0,3.370086076870393e-08,3.3700861480306167e-06,99.99999884914475,False,High (>1000 Hz)
140,137,Imaginary,10000.0,1.150855233333914e-08,1.1508552576345144e-06,100.0,False,High (>1000 Hz)
