rank,feature_index,feature_type,frequency_hz,importance,importance_percent,cumulative_percent,is_literature_range_1_10_hz,frequency_range
31,46,Real,394.0,0.001023639808408916,0.10236402601003647,99.02679443359375,False,Mid (10-1000 Hz)
32,124,Imaginary,1330.0,0.0008592024678364396,0.08592028170824051,99.11271667480469,False,High (>1000 Hz)
33,2,Real,0.456,0.0008418374927714467,0.08418378233909607,99.1968994140625,False,Action Vector
34,115,Imaginary,394.0,0.0008270320249721408,0.08270324021577835,99.27960205078125,False,Mid (10-1000 Hz)
35,57,Real,1780.0,0.0006568062817677855,0.06568066030740738,99.34527587890625,False,High (>1000 Hz)
36,16,Real,4.8,0.000615557306446135,0.06155575439333916,99.40682983398438,True,Low (1-10 Hz)
37,55,Real,1330.0,0.0005578235723078251,0.05578238144516945,99.46261596679688,False,High (>1000 Hz)
38,20,Real,8.64,0.00053156673675403,0.05315669625997543,99.5157699584961,True,Low (1-10 Hz)
39,79,Imaginary,1.99,0.0004487720434553921,0.044877223670482635,99.5606460571289,True,Low (1-10 Hz)
40,61,Real,3160.0,0.00039688701508566737,0.03968871757388115,99.600341796875,False,High (>1000 Hz)
41,131,Imaginary,4140.0,0.0003708067524712533,0.03708069026470184,99.63742065429688,False,High (>1000 Hz)
42,68,Real,10000.0,0.0002783231611829251,0.027832327410578728,99.66524505615234,False,High (>1000 Hz)
43,98,Imaginary,31.6,0.00026775666628964245,0.026775678619742393,99.69202423095703,False,Mid (10-1000 Hz)
44,5,Real,0.999,0.0002316101745236665,0.02316102758049965,99.7151870727539,False,Action Vector
45,129,Imaginary,3090.0,0.00022563323727808893,0.022563332691788673,99.73774719238281,False,High (>1000 Hz)
46,134,Imaginary,5620.0,0.00018356708460487425,0.018356716260313988,99.756103515625,False,High (>1000 Hz)
47,59,Real,2370.0,0.00017728704551700503,0.017728712409734726,99.7738265991211,False,High (>1000 Hz)
48,36,Real,90.6,0.0001744401961332187,0.017444027587771416,99.79127502441406,False,Mid (10-1000 Hz)
49,4,Real,0.822,0.00016168389993254095,0.016168396919965744,99.80744934082031,False,Action Vector
50,8,Real,1.48,0.00014704922796227038,0.014704928733408451,99.82215118408203,True,Low (1-10 Hz)
51,130,Imaginary,3160.0,0.00014263713092077523,0.014263719320297241,99.83641815185547,False,High (>1000 Hz)
52,56,Real,1710.0,0.00011711758270394057,0.011711763218045235,99.84812927246094,False,High (>1000 Hz)
53,63,Real,4220.0,0.00011305570660624653,0.011305575259029865,99.85943603515625,False,High (>1000 Hz)
54,0,Real,0.254,0.00011275183351244777,0.011275188066065311,99.87071228027344,False,Action Vector
55,66,Real,7450.0,0.00010827135702129453,0.0108271399512887,99.88153839111328,False,High (>1000 Hz)
56,26,Real,20.9,0.0001053868472808972,0.010538688860833645,99.89207458496094,False,Mid (10-1000 Hz)
57,80,Imaginary,2.37,9.192643483402207e-05,0.00919264741241932,99.9012680053711,True,Low (1-10 Hz)
58,133,Imaginary,5560.0,6.920092710060999e-05,0.006920095533132553,99.90818786621094,False,High (>1000 Hz)
59,62,Real,4140.0,6.859937275294214e-05,0.006859940011054277,99.91504669189453,False,High (>1000 Hz)
60,51,Real,750.0,5.3302683227229863e-05,0.005330270621925592,99.92037200927734,False,Mid (10-1000 Hz)
61,12,Real,2.66,5.1514020015019923e-05,0.005151404067873955,99.92552185058594,True,Low (1-10 Hz)
62,38,Real,122.0,4.897760663880035e-05,0.004897763021290302,99.930419921875,False,Mid (10-1000 Hz)
63,34,Real,67.6,4.146434730500914e-05,0.00414643669500947,99.9345703125,False,Mid (10-1000 Hz)
64,10,Real,1.99,4.073337186127901e-05,0.00407333904877305,99.93864440917969,True,Low (1-10 Hz)
65,119,Imaginary,710.0,4.00915632781107e-05,0.0040091583505272865,99.94265747070312,False,Mid (10-1000 Hz)
66,74,Imaginary,0.999,3.9632523112231866e-05,0.003963253926485777,99.94661712646484,False,Action Vector
67,70,Imaginary,0.34,3.6267014365876094e-05,0.003626702819019556,99.95024108886719,False,Action Vector
68,65,Real,5620.0,3.228144851163961e-05,0.0032281463500112295,99.95347595214844,False,High (>1000 Hz)
69,118,Imaginary,564.0,3.149037002003752e-05,0.003149038413539529,99.95661926269531,False,Mid (10-1000 Hz)
70,32,Real,50.3,2.6880068617174402e-05,0.0026880078949034214,99.95930480957031,False,Mid (10-1000 Hz)
71,135,Imaginary,7450.0,2.678207602002658e-05,0.002678208751603961,99.96198272705078,False,High (>1000 Hz)
72,53,Real,1000.0,2.5402085157111287e-05,0.002540209563449025,99.96452331542969,False,Mid (10-1000 Hz)
73,1,Real,0.34,2.271875382575672e-05,0.0022718762047588825,99.966796875,False,Action Vector
