ns_state,freq_hz,w_re_mean,w_re_std,w_im_mean,w_im_std,w_avg_mean,w_avg_std
1,710.0,0.015043756297616864,0.03394234316834023,0.013961982823781778,0.03855039482986256,0.014502869560699322,0.03631952368420921
6,2370.0,0.026020698733344005,0.08769290739294469,0.0010550109436885445,0.0037793561486533763,0.013537854838516276,0.06206580999199937
6,135.0,0.022056135871472288,0.0473165199829415,0.002708959131433922,0.009767291051521399,0.012382547501453105,0.034163233437287756
6,75.0,0.007173923874357572,0.022344621211189766,0.016966196228419095,0.061172490451148795,0.012070060051388333,0.04605081804413165
1,15.5,0.019404555126368368,0.06996411848568876,0.004309991320545481,0.015539894703031482,0.011857273223456925,0.05067773772999738
1,2300.0,0.01718110594807236,0.04919887030593504,0.006217418153091974,0.009926114704558134,0.011699262050582165,0.03548983370282441
1,1710.0,0.022378809305210638,0.06345241074970696,0.0002304182813674346,0.0008094945373859421,0.011304613793289037,0.04487128096765004
6,4.22,1.0063745395995529e-15,3.616283619832302e-15,0.022328933737681803,0.08050811551764953,0.011164466868841405,0.056927834423079894
1,163.0,0.01773351427920008,0.029401339143969467,0.002925040947969307,0.00729392017959116,0.010329277613584693,0.02142008420904267
1,2.66,0.01938192819086146,0.06764959281084183,6.9585754059230885e-34,2.5089500253611752e-33,0.00969096409543073,0.04783548582105497
1,952.0,0.015388294615690615,0.05546655142709372,0.002591933951410563,0.009345350764426772,0.00899011428355059,0.03977357104991079
1,11.6,0.012234275381026411,0.04411130720443747,0.00466186552486273,0.016808595189210414,0.008448070452944571,0.03337915738540298
1,1280.0,0.0153297127469468,0.03764572366296972,1.245169933215275e-05,4.489524040873744e-05,0.007671082223139477,0.026619565414289635
1,0.612,0.015106010515900223,0.05446549548277649,3.720075976020678e-44,4.9784122222889134e-60,0.007553005257950112,0.03851292119655653
1,37.5,0.004592621109891572,0.0165589309004924,0.008317445669814716,0.02613455311833482,0.0064550333898531435,0.021877077721468494
1,529.0,0.009659408932310317,0.017972540638748487,1.889964054002195e-40,6.813021013020688e-40,0.0048297044661551585,0.01270850536080986
1,0.822,0.007984093999185512,0.02453765966061969,3.720075976020678e-44,4.9784122222889134e-60,0.003992046999592756,0.017350745540471783
1,20.9,0.005726990172067258,0.019021503490499938,1.6151937179948779e-26,5.823663685628329e-26,0.002863495086033629,0.01345023410649609
1,3090.0,0.00011080294847103672,0.0003615900015864347,0.003397463419817335,0.012249728566664637,0.0017541331841441857,0.008665638963348488
1,1.48,0.0025130825737323275,0.009061048079066918,3.720075976020678e-44,4.9784122222889134e-60,0.0012565412868661638,0.006407128541365558
1,122.0,0.0017634804563388415,0.0033764674707652416,3.649729968636303e-39,1.3159154414268969e-38,0.0008817402281694207,0.002387523045033893
6,10000.0,1.9047236499590307e-08,6.789035255832954e-08,0.0010618432437432214,0.002926066932616821,0.0005309311454898605,0.002069041770815987
1,10000.0,1.3771647591630853e-07,4.965438149427968e-07,1.6940219252030464e-21,4.165816596100612e-21,6.885823795815511e-08,3.511094987022898e-07
1,1.1,6.441455798606118e-38,2.3224985757584526e-37,3.720075976020678e-44,4.9784122222889134e-60,3.220729759341047e-38,1.6422544922149004e-37
1,0.254,1.5362631974029098e-38,5.539062317919768e-38,3.720075976020678e-44,4.9784122222889134e-60,7.681334587394429e-39,3.916708526415944e-38
1,0.34,3.720075976020678e-44,4.9784122222889134e-60,3.720075976020678e-44,4.9784122222889134e-60,3.720075976020678e-44,4.9784122222889134e-60
1,0.456,3.720075976020678e-44,4.9784122222889134e-60,3.720075976020678e-44,4.9784122222889134e-60,3.720075976020678e-44,4.9784122222889134e-60
