ns,part,freq,fold,weight
6,im,422.0,B4,0.2322452064430155
6,im,1330.0,B4,0.2221048509729289
6,im,7500.0,B4,0.5697214817645221
1,re,0.612,B5,0.2114014905918041
1,re,4.8,B5,0.2221555007454011
1,re,50.3,B5,0.1588998312168479
1,re,7450.0,B5,0.2353096823773607
1,im,3.57,B5,0.3402280368983618
1,im,6.43,B5,0.5128569011056328
1,im,294.0,B5,0.4290351686128091
1,im,5560.0,B5,0.3206800119884798
1,im,7450.0,B5,0.5355872875218431
6,re,42.2,B5,0.1067848356268812
6,re,1330.0,B5,0.1539332018098032
6,re,7500.0,B5,0.1241010902434819
6,im,1.78,B5,0.1343050216629564
6,im,17.8,B5,0.6109896051298632
6,im,23.7,B5,0.740348632869976
6,im,56.2,B5,0.4069097203508531
6,im,178.0,B5,0.349547098645541
6,im,422.0,B5,0.4200294049386034
6,im,1330.0,B5,0.2691594871185506
6,im,1780.0,B5,0.2076881380830188
1,re,50.3,B6,0.2317933896667407
1,im,4.8,B6,0.5904435355457462
1,im,37.5,B6,0.1158847515799109
1,im,5560.0,B6,0.1923580799943887
6,re,1.33,B6,0.373769048035117
6,re,4.22,B6,0.5198705669057594
6,re,42.2,B6,0.2929219968302523
6,re,7500.0,B6,0.3377607625874347
6,im,13.3,B6,0.3936432145215359
6,im,17.8,B6,0.4394526134899057
6,im,23.7,B6,0.7258939935690745
6,im,31.6,B6,0.4700501631008854
6,im,42.2,B6,0.3955208944927204
6,im,56.2,B6,0.5855833353973133
6,im,178.0,B6,0.4737978519139995
6,im,422.0,B6,0.4769974503247907
6,im,564.0,B6,0.5033309061077236
6,im,1330.0,B6,0.1594656362990581
6,im,1780.0,B6,0.3233114217220668
6,im,5620.0,B6,0.6563389071775937
